사업명,시장명,지자체,행정동명,60대이상인구,1km_이내_주차장수,1km_이내_CCTV수,축제수,1km_이내_도시공원수,1km_이내_관광지수,배달빈도수,1.5km_이내_대규모점포수,1km_이내_버스정류장수,10~30대인구,1km_이내_대학수,실업률(％),1km_이내_문화시설
문화관광형시장,고척근린시장,서울구로구,고척2동,7925,10,338,1.0,14,1.0,492385.0,14.0,126,8279,6,3.4,4
문화관광형시장,구로시장,서울구로구,구로4동,6375,23,504,1.0,8,0.0,492385.0,10.0,146,6326,0,3.4,8
문화관광형시장,남구로시장,서울구로구,구로2동,8062,22,559,1.0,8,0.0,492385.0,10.0,126,6943,0,3.4,8
디지털전통시장,남문시장,서울금천구,독산3동,7288,24,260,1.0,16,1.0,310413.0,11.0,147,8653,0,4.7,23
문화관광형시장,남문시장,서울금천구,독산3동,7288,24,260,1.0,16,1.0,310413.0,11.0,147,8653,0,4.7,23
문화관광형시장,공릉동도깨비시장,서울노원구,공릉1동,10061,3,429,1.0,22,0.0,608202.0,7.0,143,14118,0,3.7,16
디지털전통시장,방학동도깨비시장,서울도봉구,방학2동,6572,16,0,14.0,17,0.0,382203.0,7.0,117,5540,0,4.6,13
문화관광형시장,방학동도깨비시장,서울도봉구,방학2동,6572,16,0,14.0,17,0.0,382203.0,7.0,117,5540,0,4.6,13
청년몰활성화,경동시장,서울동대문구,제기동,7922,11,182,1.0,10,2.0,451239.0,10.0,114,8911,0,3.2,18
문화관광형시장,남성시장,서울동작구,사당2동,8056,6,607,4.0,13,0.0,503416.0,5.0,107,9801,0,4.8,31
디지털전통시장,성대전통시장,서울동작구,상도3동,6634,6,255,4.0,7,0.0,503416.0,5.0,152,9502,0,4.8,22
문화관광형시장,성대전통시장,서울동작구,상도3동,6634,6,255,4.0,7,0.0,503416.0,5.0,152,9502,0,4.8,22
문화관광형시장,망원시장,서울마포구,망원1동,4735,1,213,2.0,13,2.0,482155.0,7.0,132,7841,0,3.8,13
문화관광형시장,아현시장,서울마포구,아현동,5407,6,255,2.0,21,0.0,482155.0,8.0,122,10663,22,3.8,12
문화관광형시장,영천시장,서울서대문구,천연동,4699,6,141,1.0,16,0.0,399465.0,4.0,127,5508,16,4.3,47
디지털전통시장,포방터시장,서울서대문구,홍은1동,6654,5,128,1.0,8,0.0,399465.0,3.0,91,7237,10,4.3,7
청년몰활성화,뚝도시장,서울성동구,성수2가1동,4564,5,193,1.0,8,1.0,366681.0,6.0,71,5135,0,3.3,12
문화관광형시장,마장축산물시장,서울성동구,마장동,5880,14,244,1.0,10,3.0,366681.0,15.0,99,8832,0,3.3,5
문화관광형시장,돈암시장,서울성북구,삼선동,5644,3,195,0.0,5,0.0,539110.0,10.0,135,9090,9,4.3,21
디지털전통시장,정릉시장,서울성북구,정릉4동,7074,1,185,0.0,10,0.0,539110.0,12.0,116,8030,6,4.3,3
문화관광형시장,정릉시장,서울성북구,정릉4동,7074,1,185,0.0,10,0.0,539110.0,12.0,116,8030,6,4.3,3
디지털전통시장,경창시장,서울양천구,신월2동,5988,14,828,3.0,29,0.0,498253.0,2.0,104,6948,0,3.4,6
문화관광형시장,목사랑시장 (목4동시장),서울양천구,목4동,5159,6,673,3.0,19,0.0,498253.0,14.0,67,9573,0,3.4,6
문화관광형시장,신월1동신영시장,서울양천구,신월1동,6642,16,723,3.0,26,0.0,498253.0,6.0,108,6127,0,3.4,10
문화관광형시장,대림중앙시장,서울영등포구,대림2동,3926,16,927,1.0,13,2.0,487302.0,3.0,139,4232,0,3.7,17
문화관광형시장,용산용문시장,서울용산구,용문동,3134,4,197,1.0,14,15.0,287252.0,21.0,135,4263,0,3.6,40
문화관광형시장,연서시장,서울은평구,불광2동,8801,4,300,1.0,19,0.0,572022.0,10.0,147,9291,0,3.9,13
문화관광형시장,통인시장,서울종로구,청운효자동,2944,3,106,3.0,6,2.0,190353.0,5.0,60,4077,1,3.0,22
문화관광형시장,신중부시장,서울중구,광희동,1585,25,248,1.0,9,6.0,165398.0,31.0,108,2550,18,4.3,148
문화관광형시장,서울중앙시장,서울중구,황학동,2916,10,292,1.0,21,2.0,165398.0,34.0,118,5622,0,4.3,41
문화관광형시장,중랑동부시장(동부골목시장),서울중랑구,상봉2동,4649,6,261,2.0,14,0.0,494623.0,8.0,103,9457,0,4.5,9
디지털전통시장,중랑동부시장(동부골목시장),서울중랑구,상봉2동,4649,6,261,2.0,14,0.0,494623.0,8.0,103,9457,0,4.5,9
디지털전통시장,세종전통시장,세종세종시,조치원읍,11062,29,114,5.0,9,1.0,417437.0,0.0,95,15229,0,1.4,6
문화관광형시장,세종전통시장,세종세종시,조치원읍,11062,29,114,5.0,9,1.0,417437.0,0.0,95,15229,0,1.4,6
문화관광형시장,전의왕의물시장,세종세종시,전의면,2395,1,26,5.0,0,0.0,417437.0,0.0,56,1274,0,1.4,1
